iter	Passed	Remaining
0	0	85
1	1	76
2	2	71
3	2	66
4	3	64
5	4	63
6	4	63
7	5	62
8	6	60
9	6	61
10	7	60
11	8	59
12	8	58
13	9	57
14	10	57
15	10	56
16	11	55
17	12	54
18	12	54
19	13	53
20	14	52
21	14	52
22	15	51
23	15	50
24	16	49
25	17	49
26	17	48
27	18	47
28	19	46
29	19	46
30	20	45
31	21	45
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	31
53	35	30
54	36	29
55	37	29
56	38	28
57	39	28
58	40	27
59	41	27
60	42	26
61	42	26
62	43	25
63	43	24
64	44	24
65	45	23
66	46	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	12
81	56	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	59	8
88	60	7
89	61	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	65	2
96	65	2
97	66	1
98	67	0
99	67	0
